UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
P60720,867,"['Octanoyltransferase', 'Lipoate-protein ligase B', 'Lipoyl/octanoyl transferase', 'Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase']",Monomer or homotrimer. Both forms are active.,"['lipB', 'b0630', 'JW5089']",1
P60716,868,"['Lipoyl synthase', 'Lip-syn', 'LS', 'Lipoate synthase', 'Lipoic acid synthase', 'Sulfur insertion protein LipA']",Monomer or homodimer.,"['lipA', 'lip', 'b0628', 'JW0623']",1
P06983,869,"['Porphobilinogen deaminase', 'PBG', 'Hydroxymethylbilane synthase', 'HMBS', 'Pre-uroporphyrinogen synthase']",Monomer.,"['hemC', 'popE', 'b3805', 'JW5932']",1
P40191,870,"['Pyridoxine/pyridoxal/pyridoxamine kinase', 'PN/PL/PM kinase', 'B6-vitamer kinase', 'Pyridoxal kinase 1', 'PL kinase 1']",Homodimer.,"['pdxK', 'yfeI', 'b2418', 'JW2411']",2
P10441,871,['Lipid-A-disaccharide synthase'],Homodimer.,"['lpxB', 'pgsB', 'b0182', 'JW0177']",2
P37746,872,['Putative O-antigen transporter'],Homodimer.,"['rfbX', 'wzx', 'b2037', 'JW2022']",2
P37749,873,"['Beta-1,6-galactofuranosyltransferase WbbI', 'D-Galf:alpha-D-Glc beta-1,6-galactofuranosyltransferase', 'GalF transferase']",Homodimer.,"['wbbI', 'yefG', 'b2034', 'JW2019']",2
P76422,874,"['Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase', 'Hydroxymethylpyrimidine kinase', 'HMP kinase', 'Hydroxymethylpyrimidine phosphate kinase']",Monomer.,"['thiD', 'thiJ', 'b2103', 'JW2090']",1
P37751,875,['Putative glycosyltransferase WbbK'],Monomer.,"['wbbK', 'yefI', 'b2032', 'JW2017']",1
P0ADA1,876,"['Thioesterase 1/protease 1/lysophospholipase L1', 'TAP', 'Acyl-CoA thioesterase 1', 'TESA', 'Acyl-CoA thioesterase I', 'Arylesterase', 'Lysophospholipase L1', 'Oleoyl-[acyl-carrier-protein] hydrolase', 'Phospholipid degradation C', 'Pldc', 'Protease 1', 'Protease I', 'Thioesterase I/protease I', 'TEP-I']",Monomer or homotetramer.,"['tesA', 'apeA', 'pldC', 'b0494', 'JW0483']",1
P0AA67,877,['Threonine/homoserine exporter RhtA'],Monomer or homotetramer.,"['rhtA', 'ybiF', 'b0813', 'JW0798']",1
P07000,878,['Lysophospholipase L2'],Monomer or homotetramer.,"['pldB', 'b3825', 'JW5584']",1
P68066,879,['Autonomous glycyl radical cofactor'],Monomer or homotetramer.,"['grcA', 'yfiD', 'b2579', 'JW2563']",1
P0AG34,880,['Homoserine/homoserine lactone efflux protein'],Monomer or homotetramer.,"['rhtB', 'yigK', 'b3824', 'JW5585']",1
P42632,881,"['PFL-like enzyme TdcE', 'Keto-acid formate acetyltransferase', 'Keto-acid formate-lyase', 'Ketobutyrate formate-lyase', 'KFL', 'Pyruvate formate-lyase', 'PFL']",Monomer or homotetramer.,"['tdcE', 'yhaS', 'b3114', 'JW5522']",1
P51020,882,"['4-hydroxy-2-oxovalerate aldolase', 'HOA', '4-hydroxy-2-keto-pentanoic acid aldolase', '4-hydroxy-2-oxopentanoate aldolase']",Interacts with MhpF.,"['mhpE', 'b0352', 'JW0343']",1
P09373,883,['Formate acetyltransferase 1'],Homodimer (PubMed:10504733). Interacts specifically with FocA (PubMed:24887098).,"['pflB', 'pfl', 'b0903', 'JW0886']",2
P0A9N4,884,"['Pyruvate formate-lyase 1-activating enzyme', 'Formate-C-acetyltransferase-activating enzyme 1', 'PFL-activating enzyme 1']",Monomer.,"['pflA', 'act', 'b0902', 'JW0885']",1
P52095,885,"['Constitutive lysine decarboxylase', 'LDCC']",Homodecamer; built of five dimers associated in a 5-fold symmetrical double-ring.,"['ldcC', 'ldc', 'ldcH', 'b0186', 'JW0181']",10
