,UniProtID,proteinNames,txt_subunit,geneNames
1125,P24186,['Bifunctional protein FolD'],Homodimer.,"['folD', 'ads', 'b0529', 'JW0518']"
1126,P0AGD3,['Superoxide dismutase [Fe]'],Homodimer.,"['sodB', 'b1656', 'JW1648']"
1127,P0AEZ1,"['5,10-methylenetetrahydrofolate reductase', 'MTHFR']",Homotetramer.,"['metF', 'b3941', 'JW3913']"
1128,P07003,"['Pyruvate dehydrogenase [ubiquinone]', 'Pyruvate oxidase', 'POX', 'Pyruvate:ubiquinone-8 oxidoreductase']",Homotetramer.,"['poxB', 'b0871', 'JW0855']"
1129,P00448,['Superoxide dismutase [Mn]'],Homodimer.,"['sodA', 'b3908', 'JW3879']"
1130,P0AFL6,"['Exopolyphosphatase', 'ExopolyPase']",Homodimer.,"['ppx', 'b2502', 'JW2487']"
1131,P40874,"['N-methyl-L-tryptophan oxidase', 'MTOX']",Monomer.,"['solA', 'b1059', 'JW1046']"
1132,P0AGD1,['Superoxide dismutase [Cu-Zn]'],Monomer.,"['sodC', 'b1646', 'JW1638']"
1133,P15042,['DNA ligase'],Monomer.,"['ligA', 'dnaL', 'lig', 'lop', 'pdeC', 'b2411', 'JW2403']"
1134,P0A7A9,['Inorganic pyrophosphatase'],Homohexamer.,"['ppa', 'b4226', 'JW4185']"
1135,P07117,"['Sodium/proline symporter', 'Proline carrier', 'Proline permease', 'Propionate transporter']",Has been isolated from inner membrane preparations as a homodimer.,"['putP', 'b1015', 'JW1001']"
1136,P76149,['Succinate semialdehyde dehydrogenase [NAD(P)+] Sad'],Homodimer.,"['sad', 'yneI', 'b1525', 'JW5247']"
1137,P32664,"['NAD-capped RNA hydrolase NudC', 'DeNADding enzyme NudC']",Homodimer.,"['nudC', 'yjaD', 'b3996', 'JW5548']"
1138,P25526,"['Succinate-semialdehyde dehydrogenase [NADP(+)] GabD', 'SSDH']",Homotetramer.,"['gabD', 'b2661', 'JW2636']"
1139,P00393,"['Type II NADH:quinone oxidoreductase', 'Cupric reductase', 'NADH dehydrogenase-2']",Monomer (PubMed:7020757). Forms a supercomplex with the NADH:quinone oxidoreductase NDH-1 in the aerobic respiratory chain (PubMed:21040753).,"['ndh', 'b1109', 'JW1095']"
1140,P0ACB2,['Delta-aminolevulinic acid dehydratase'],Homooctamer.,"['hemB', 'ncf', 'b0369', 'JW0361']"
1141,P37353,['2-succinylbenzoate--CoA ligase'],Homooctamer.,"['menE', 'b2260', 'JW2255']"
1142,P00864,['Phosphoenolpyruvate carboxylase'],Homotetramer.,"['ppc', 'glu', 'b3956', 'JW3928']"
1143,P29208,"['o-succinylbenzoate synthase', ""4-(2'-carboxyphenyl)-4-oxybutyric acid synthase"", 'o-succinylbenzoic acid synthase']",Homotetramer.,"['menC', 'b2261', 'JW2256']"
1144,P0ABQ0,"['Coenzyme A biosynthesis bifunctional protein CoaBC', 'DNA/pantothenate metabolism flavoprotein', 'Phosphopantothenoylcysteine synthetase/decarboxylase', 'PPCS-PPCDC']","Homododecamer (PubMed:10922366, PubMed:11358972). The CoaC domain is responsible for dodecamer formation (PubMed:11358972). The CoaB domain forms homodimers (PubMed:12140293).","['coaBC', 'dfp', 'b3639', 'JW5642']"
1145,P0AFC7,"['NADH-quinone oxidoreductase subunit B', 'NADH dehydrogenase I subunit B', 'NDH-1 subunit B', 'NUO2']","NDH-1 is composed of 13 different subunits. Subunits NuoB, CD, E, F, and G constitute the peripheral sector of the complex.","['nuoB', 'b2287', 'JW5875']"
1146,P07014,['Succinate dehydrogenase iron-sulfur subunit'],"Part of an enzyme complex containing four subunits: a flavoprotein, an iron-sulfur, cytochrome b-556, and a hydrophobic anchor protein. The complex forms trimers.","['sdhB', 'b0724', 'JW0714']"
1147,P0AFC3,"['NADH-quinone oxidoreductase subunit A', 'NADH dehydrogenase I subunit A', 'NDH-1 subunit A', 'NUO1']","NDH-1 is composed of 13 different subunits. Subunits NuoA, H, J, K, L, M, N constitute the membrane sector of the complex.","['nuoA', 'b2288', 'JW2283']"
1148,P0AC41,['Succinate dehydrogenase flavoprotein subunit'],"Part of an enzyme complex containing four subunits: a flavoprotein, an iron-sulfur, cytochrome b-556, and a hydrophobic anchor protein. The complex forms trimers. Can be cross-linked to SdhE (PubMed:26644464).","['sdhA', 'b0723', 'JW0713']"
1149,P69054,"['Succinate dehydrogenase cytochrome b556 subunit', 'Cytochrome b-556']","Part of an enzyme complex containing four subunits: a flavoprotein, an iron-sulfur protein, plus two membrane-anchoring proteins, SdhC and SdhD. The complex can form homotrimers.","['sdhC', 'cybA', 'b0721', 'JW0711']"
1150,P22259,['Phosphoenolpyruvate carboxykinase (ATP)'],Monomer.,"['pckA', 'pck', 'b3403', 'JW3366']"
1151,P0AC44,['Succinate dehydrogenase hydrophobic membrane anchor subunit'],"Part of an enzyme complex containing four subunits: a flavoprotein, an iron-sulfur protein, plus two membrane-anchoring proteins, SdhC and SdhD. The complex can form homotrimers.","['sdhD', 'b0722', 'JW0712']"
1152,P52043,['Propanoyl-CoA:succinate CoA transferase'],"Part of an enzyme complex containing four subunits: a flavoprotein, an iron-sulfur protein, plus two membrane-anchoring proteins, SdhC and SdhD. The complex can form homotrimers.","['scpC', 'ygfH', 'b2920', 'JW2887']"
1153,P0AFF0,"['NADH-quinone oxidoreductase subunit N', 'NADH dehydrogenase I subunit N', 'NDH-1 subunit N', 'NUO14']","NDH-1 is composed of 13 different subunits. Subunits NuoA, H, J, K, L, M, N constitute the membrane sector of the complex.","['nuoN', 'b2276', 'JW2271']"
1154,P0AGE9,['Succinate--CoA ligase [ADP-forming] subunit alpha'],Heterotetramer of two alpha and two beta subunits.,"['sucD', 'b0729', 'JW0718']"
1155,P0A7B1,"['Polyphosphate kinase', 'ATP-polyphosphate phosphotransferase', 'Polyphosphoric acid kinase']","Homotetramer (PubMed:1331061). Dimer of dimers (PubMed:10660553, PubMed:15947782). The diverse functions of this enzyme involve different subunit organizations and conformations (PubMed:10660553).","['ppk', 'b2501', 'JW2486']"
1156,P0AFE0,"['NADH-quinone oxidoreductase subunit J', 'NADH dehydrogenase I subunit J', 'NDH-1 subunit J', 'NUO10']","Composed of 13 different subunits. Subunits NuoA, H, J, K, L, M, N constitute the membrane sector of the complex.","['nuoJ', 'b2280', 'JW2275']"
1157,P0A836,['Succinate--CoA ligase [ADP-forming] subunit beta'],Heterotetramer of two alpha and two beta subunits.,"['sucC', 'b0728', 'JW0717']"
1158,P31979,"['NADH-quinone oxidoreductase subunit F', 'NADH dehydrogenase I subunit F', 'NDH-1 subunit F', 'NUO6']","Composed of 13 different subunits. Subunits NuoCD, E, F, and G constitute the peripheral sector of the complex.","['nuoF', 'b2284', 'JW2279']"
1159,P0A6K6,"['Phosphopentomutase', 'Phosphodeoxyribomutase', 'Phosphoribomutase']","Composed of 13 different subunits. Subunits NuoCD, E, F, and G constitute the peripheral sector of the complex.","['deoB', 'drm', 'thyR', 'b4383', 'JW4346']"
1160,P0A6L7,"['Altronate oxidoreductase', 'Tagaturonate dehydrogenase', 'Tagaturonate reductase']","Composed of 13 different subunits. Subunits NuoCD, E, F, and G constitute the peripheral sector of the complex.","['uxaB', 'b1521', 'JW1514']"
1161,P33607,"['NADH-quinone oxidoreductase subunit L', 'NADH dehydrogenase I subunit L', 'NDH-1 subunit L', 'NUO12']","Composed of 13 different subunits. Subunits NuoA, H, J, K, L, M, N constitute the membrane sector of the complex.","['nuoL', 'b2278', 'JW2273']"
1162,P0A867,['Transaldolase A'],Homodimer.,"['talA', 'b2464', 'JW2448']"
1163,P33602,"['NADH-quinone oxidoreductase subunit G', 'NADH dehydrogenase I subunit G', 'NDH-1 subunit G', 'NUO7']","Composed of 13 different subunits. Subunits NuoCD, E, F, and G constitute the peripheral sector of the complex.","['nuoG', 'b2283', 'JW2278']"
1164,P45549,['Uncharacterized protein YhfW'],"Composed of 13 different subunits. Subunits NuoCD, E, F, and G constitute the peripheral sector of the complex.","['yhfW', 'b3380', 'JW3343']"
