reactions,metabolites,metabolitestotal,gpr,genes
GHMT2r_reverse,gly_c,gly,ECDH1ME8569_2478,ECDH1ME8569_2478
GHMT2r_reverse,mlthf_c,mlthf,ECDH1ME8569_2478,ECDH1ME8569_2478
GLCATr_reverse,acglc__D_c,acglc__D,ECDH1ME8569_0443,ECDH1ME8569_0443
GLUt2rpp_reverse,glu__L_c,glu__L,ECDH1ME8569_3935,ECDH1ME8569_3935
GLCNt2rpp_reverse_num1,glcn_c,glcn,ECDH1ME8569_4179,ECDH1ME8569_4179
GLCNtex_reverse_num1,glcn_p,glcn,ECDH1ME8569_0229,ECDH1ME8569_0229
GLUtex_reverse_num1,glu__L_p,glu__L,ECDH1ME8569_0229,ECDH1ME8569_0229
GLYALDtex_reverse_num1,glyald_p,glyald,ECDH1ME8569_0229,ECDH1ME8569_0229
GLYALDtpp_reverse,glyald_c,glyald,ECDH1ME8569_3796,ECDH1ME8569_3796
GLYAT_reverse,2aobut_c,2aobut,ECDH1ME8569_3502,ECDH1ME8569_3502
GLCRt2rpp_reverse_num1,glcr_c,glcr,ECDH1ME8569_3018,ECDH1ME8569_3018
GLCRtex_reverse_num1,glcr_p,glcr,ECDH1ME8569_0229,ECDH1ME8569_0229
GLYBtex_reverse_num1,glyb_p,glyb,ECDH1ME8569_0229,ECDH1ME8569_0229
GLCUR1Ptex_reverse_num1,glcur1p_p,glcur1p,ECDH1ME8569_0229,ECDH1ME8569_0229
GLCURt2rpp_reverse_num1,glcur_c,glcur,ECDH1ME8569_3779,ECDH1ME8569_3779
GLYC2Ptex_reverse_num1,glyc2p_p,glyc2p,ECDH1ME8569_2151,ECDH1ME8569_2151
GLYC3Ptex_reverse_num1,glyc3p_p,glyc3p,ECDH1ME8569_0229,ECDH1ME8569_0229
GLYCAt2rpp_reverse_num1,glyc__R_c,glyc__R,ECDH1ME8569_2699,ECDH1ME8569_2699
GLCURtex_reverse_num1,glcur_p,glcur,ECDH1ME8569_0229,ECDH1ME8569_0229
GLCtex_copy1_reverse_num1,glc__D_p,glc__D,ECDH1ME8569_0229,ECDH1ME8569_0229
GLYCAtex_reverse_num1,glyc__R_p,glyc__R,ECDH1ME8569_0229,ECDH1ME8569_0229
GLYCLTt2rpp_reverse_num1,glyclt_c,glyclt,ECDH1ME8569_3488,ECDH1ME8569_3488
