,kcat,data_type,MW,kcat_MW
MPOMT,0.079,Other_species,25081,11.339260795024122
MPOMC1_num1,0.0164,Other_species,57793,1.0215770075960757
MPOMMM_num1,0.0164,Other_species,57793,1.0215770075960757
MPOMOR_num1,0.0164,Other_species,57793,1.0215770075960757
POR_1_reverse,0.05991666666666667,Other_species,36062,5.981365426210416
GTPCI_1,397.38,Brenda_SA,266400,5370.0
DHNPA2r,0.08549999999999999,Database,13146,23.413966225467824
HPPK2_1,999.0,Database,21237,169345.95281819467
DHPS2,135625.2563599025,Brenda_SA,31602,15450000.7245
FO0009,135625.2563599025,Brenda_SA,31602,15450000.7245
ADCS,0.4131591428571429,Database,108542,13.70320165729132
DHFR_reverse,77.02221538461538,Other_species,31602,8774.127440814358
MTHFC,40.9,Database,61886,2379.2133923666097
MTHFD,32180.719999999998,Database,61886,1871999.9999999998
GE0004_num1,498450.0,Other_species,30761,58334254.413055494
IDPh_1,102.92384615384616,Brenda_SA,114528,3235.2424398736216
PPK2,23.6,Database,82607,1028.4842688876245
PPK,23.6,Database,82607,1028.4842688876245
SPODM,50519.8,Other_species,43354,4195028.832403008
CAT,6792.875,Database,168892,144792.8261847808
GTHPi_num1,15476.063846153846,Other_species,18452,3019392.4694425454
GTHOr,50.0,Database,21957.0,8197.841235141414
PRDX,6792.875,Database,168892,144792.8261847808
FALDH2p,156.0,Database,78422,7161.255770064523
SERAT,1635.2954285714286,Database,27336,215359.3628496175
CYSS_2_num1,954.6666666666666,Database,33173,103602.3271938022
SADT,6.635058823529412,Other_species,43696,546.6452710707132
ADSK,16882.1501,Database,19674,3089139.9999999995
PAPSR,46972.2,Database,28468,5940000.0
SULR_syn_reverse,30.495333333333335,Other_species,71441,1536.697414649851
GHMT2r,780714.6,Database,92520,30378000.0
GLYCL,15.391666666666666,Database,264602.0,209.408848005684
METS_1,13.0,Database,132540,353.1009506564056
AHCi,2.02,Other_species,46214,157.3549140952958
METAT_reverse,0.906736445,Database,183464,17.792325480748264
GLYCK2,2.5,Database,39231,229.41041523285156
TRSARyr_reverse,23.0,Database,29930,2766.455061810892
GOX,9.459777777777777,Other_species,70271,484.62665964622676
GTHS,15681.687833333333,Brenda_SA,35069,1609800.0
GTHRDH_syn,0.62,Database,55988,39.86568550403658
PGCD,4.883333333333334,Database,59222,296.84914389922665
RE2034C,150813.17125,Brenda_SA,33951,15991500.000000002
GM0040,15681.687833333333,Brenda_SA,35069,1609800.0
PGI,206774.75999999998,Brenda_SA,58356,12755999.999999998
FBP_num1,19.016666666666666,Database,37075,1846.5273095077546
PFK_num1,75.8619411764706,Other_species,77176,3538.703589656035
FBA_num1,12.35,Other_species,38972,1140.8190495740532
TPI,9000.0,Other_species,52318,619289.7282006193
GAPDi_nadp_reverse,4.5,Other_species,146048,110.92243645924627
GAPD,999.0,Other_species,144584,24874.12161788303
PGK,1480.0,Brenda_SA,41784,127512.92360712234
PGM_num1,16.0,Database,57982,993.4117484736643
ENO,162076.01666666666,Brenda_SA,46529,12540000.0
MAN1PT_num1,76.10000000000001,Other_species,42768,6405.723905723907
ALCD19y,0.41732223333333335,Other_species,36014,41.71600044427167
GLYK1,344283.39,Brenda_SA,54351,22804000.0
GS0030,33.3,Database,61575,1946.8940316686965
GS0031,33.3,Database,61575,1946.8940316686965
HE0004_num1,0.18915,Other_species,27051,25.172452035044916
ATPPRT_reverse,1.0455714285714286,Other_species,67718.0,55.58429284469628
PRAMPC,4.2175,Other_species,23945,634.0780956358321
PRMICI,9.600000000000001,Database,27350,1263.6197440585013
IGPDH,1000.0,Other_species,23063,156094.17682001475
HSTPT,106.8181666675,Other_species,77404,4968.0300760038235
HISTDa_1_num1,8.039,Other_species,45138,641.153795028579
HISTDb_1_num1,4.363333333333333,Other_species,45138,347.9994682972219
ACLSa,44.75,Database,18871.0,8536.908483917121
ACLSb_reverse,34.65875,Database,18871.0,6611.811774680727
ACHBSb,3.3,Database,18871.0,629.5373854061788
KARA1,21.0,Database,286576,263.80436603204737
KARI_1,3.4298636363636366,Database,286576,43.086333436537224
KARI_23dhmp_1_reverse,3.4298636363636366,Other_species,286576,43.086333436537224
DHAD1,692293.8748444444,Brenda_SA,117292,21248320.0
DHAD2,692293.8748444444,Brenda_SA,117292,21248320.0
LEUTA,63.0,Database,33951,6680.215604842273
VALTA,19.0,Database,33951,2014.6681982857647
ILETA,48.0,Brenda_SA,33951,5089.688079879827
IPPS_reverse_num1,5.231674418604651,Other_species,59820,314.84500011662897
IPPMIb,3.2,Other_species,72045.0,159.9000624609619
IPPMIa_reverse,3.2,Other_species,72045.0,159.9000624609619
IPMD,37.735,Database,77334,1756.614167119249
CITCIa,10.533333333333333,Other_species,72045.0,526.3377056006663
CITCIb,3.2,Other_species,72045.0,159.9000624609619
ERTHMMOR_reverse,37.735,Database,77334,1756.614167119249
LA0001,0.2,Database,25641,28.08002808002808
ACOATA,3460.3344,Brenda_SA,70332,177120.0
KAS14_num1,0.029,Database,70332,1.4843883296365807
ACCOAC,9.260777777777777,Other_species,72438.0,460.23910102432427
MCOATA,1170.0001175,Database,31491,133752.5141468991
3OAS60_num1,0.029,Database,88008,1.186255794927734
3OAS80_num1,0.029,Database,88008,1.186255794927734
3OAS100_num1,0.029,Database,88008,1.186255794927734
3OAS120_num1,0.029,Database,88008,1.186255794927734
3OAS140_num1,0.029,Database,88008,1.186255794927734
3OAS160_num1,0.029,Database,88008,1.186255794927734
LI0011_num1,0.029,Database,88008,1.186255794927734
3HAD40_2,26.613966666666666,Brenda_SA,17942,5340.0
3HAD60,26.613966666666666,Brenda_SA,17942,5340.0
3HAD80,26.613966666666666,Brenda_SA,17942,5340.0
3HAD100,26.613966666666666,Brenda_SA,17942,5340.0
3HAD120,26.613966666666666,Brenda_SA,17942,5340.0
3HAD140,26.613966666666666,Brenda_SA,17942,5340.0
3HAD160,26.613966666666666,Brenda_SA,17942,5340.0
3HAD180,26.613966666666666,Brenda_SA,17942,5340.0
EAR40y,1668.6104000000003,Brenda_SA,110504,54360.00000000001
EAR60y,1668.6104000000003,Brenda_SA,110504,54360.00000000001
EAR80y,1668.6104000000003,Brenda_SA,110504,54360.00000000001
EAR100y,1668.6104000000003,Brenda_SA,110504,54360.00000000001
EAR120y,1668.6104000000003,Brenda_SA,110504,54360.00000000001
EAR140y,1668.6104000000003,Brenda_SA,110504,54360.00000000001
EAR160y,1668.6104000000003,Brenda_SA,110504,54360.00000000001
EAR180y,1668.6104000000003,Brenda_SA,110504,54360.00000000001
UAGAAT,9.166666666666666,Database,90006,366.64222385174315
UHGADA,1.6949999999999998,Database,30326,201.213480182022
U23GAAT_reverse,262.0,Database,108582,8686.5226280599
ASPO6_1,2.112575,Database,60498,125.71109788753347
NNDPR_reverse,400.852,Other_species,63946,22566.965877459104
NNATr_num1,8.681885429166666,Other_species,22711,1376.1960083219585
NADS2,3.642,Other_species,61076,214.6702469054948
NADK_1_num1,78.33333333333333,Other_species,33776,8349.123638086216
NMNAT_num1,6.998489143478261,Other_species,22711,1109.3549784915565
NMNDA,3.6999999999999997,Database,44707,297.9399199230545
MOHMT,3008979.1288333335,Brenda_SA,277860,38984830.0
DPR,3.4298636363636366,Database,286576,43.086333436537224
PANTS_1,24.48,Database,55452,1589.2663925557238
PNTK_1,0.7603333333333333,Database,55404,49.404375135369285
PPCDC,0.8333333,Database,43419,69.09417259725006
PPNCL3,268.47415,Database,43419,22260.0
PPNCL2_1,0.8833333,Database,43419,73.23982311891108
