reactions,data_type,kcat,MW,kcat_MW
TREptspp,ours,20.74790518270533,63561.09830000026,525.9612327204356
G3PAT180,ours,20.54452707029096,91380.36490000038,739.4566996428888
PGPP180pp_num1,ours,20.54452707029096,19417.8997,3808.872153822457
TRPS2,ours,20.41822193836196,28723.808900000007,1025.0919815482243
GOFUCR,ours,20.41822193836196,36140.714400000026,2033.872329267044
OP4ENH,ours,20.31761085801563,28889.54260000001,2531.8296001286026
XYLUt2pp,ours,20.109532465039184,17515.65599999999,732.3436372694092
PAPA180pp,ours,19.96193998568493,29020.883700000028,2476.250712808779
QUINDH,ours,19.96193998568493,31227.45460000001,2301.275748183002
FE3DHBZSabcpp,ours,19.911074815490387,34909.797400000025,539.5667100078131
K2L4Aabcpp,ours,19.593935846271048,64459.97920000018,1094.2940088099745
PAPA181,ours,19.11990322441863,29020.883700000028,2371.797231243754
QULNS,ours,19.11990322441863,38240.39070000005,1799.9724989187146
PUNP4_num1,ours,19.087524193454893,29834.296999999995,2303.224610804056
HXAND,ours,19.087524193454893,31556.43520000001,529.4005596581364
MANptspp,ours,18.924191737488403,30955.114399999984,409.619268422039
UAAGDS,ours,18.676223650529053,53342.99120000008,1260.4168538247345
PSERT,ours,18.639087764383596,39782.842400000045,1686.6747548380522
FACOAL140t2pp_num1,ours,18.639087764383596,62758.64560000017,1069.1868078137868
LPLIPAL2ATG161,ours,18.57452389101545,38977.781800000055,1715.5487798347601
BUTSO3abcpp_num1,ours,18.39856153347357,27737.769100000016,726.098612557526
S2FE2SS,ours,18.341038906685892,15800.13859999999,327.4965453068909
SHK3Dr_num1,ours,17.841501834678816,31227.45460000001,2056.8249134479156
GGPTRCS,ours,17.834686886576936,53176.57960000005,1207.3900441629178
CRNDCAL2,ours,17.78211530353032,58558.45330000009,1093.1916996637794
FACOAE181,ours,17.74827450671839,31965.918600000045,1998.8097017861426
TDSR1,ours,17.59095425087229,61794.34410000012,724.4397847242477
THZPSN3,ours,17.46197329233833,43319.625100000085,353.8359017371307
PLIPA2E141pp,ours,17.313792131130988,33162.71369999999,1879.5099893188649
ACKr_num1,ours,17.313792131130988,43383.618700000006,1436.7093741784051
FRUpts2pp,ours,17.112903301981113,35047.13200000002,370.41343843755243
MOCOS,ours,17.112903301981113,44066.74880000004,1398.025803236293
FACOAL161t2pp_num1,ours,17.09079027091776,62331.2346000001,987.0949191066375
GND,ours,17.061949447247663,51480.65060000007,1193.1282393329252
S2FE2SS2,ours,16.938627479722243,12231.265699999987,302.45516680231344
IGPS,ours,16.858334333048283,49491.72400000008,1226.2657004830487
ALATA_L2_num1,ours,16.789073237205614,36494.29420000008,1656.1674908057294
SELCYSS,ours,16.789073237205614,50606.60020000007,1194.3237327754755
PE140abcpp,ours,16.762558089116165,64459.97920000018,936.1655071836888
PLIPA1E141pp,ours,16.69631685472766,33162.71369999999,1812.4795582401202
FMETTRS,ours,16.62061389746403,34168.063900000016,1751.1735580332509
SERt4pp,ours,16.524629703578608,43477.19440000009,1368.2729015486534
ALATRS,ours,16.524629703578608,96031.25700000064,619.4719176994902
VALabcpp,ours,16.52295387160202,26309.936100000006,343.7050142258986
NTRIR4pp,ours,16.519845325608948,35041.793700000024,443.7318561737593
ASP1DC,ours,16.504625223879962,13833.576899999982,4295.103951456543
GLUPRT,ours,16.380225280493686,56487.39320000007,1043.9287010641729
2DGULRGx,ours,16.168833449658422,35395.09920000004,1644.5158153072857
