reaction_id,name,reversible,dG_reaction,source
R_EX_ni2_e,Ni2+ exchange,True,0,calculated_from_formation_energies
R_EX_nmn_e,NMN exchange,False,0,calculated_from_formation_energies
R_EX_no_e,Nitric oxide exchange,False,0,calculated_from_formation_energies
R_EX_no2_e,Nitrite exchange,False,0,calculated_from_formation_energies
R_EX_uacgam_e,UDP-N-acetyl-D-glucosamine exchange,False,0,calculated_from_formation_energies
R_EX_udpacgal_e,UDP-N-acetyl-D-galactosamine exchange,False,0,calculated_from_formation_energies
R_EX_udpg_e,UDPglucose exchange,False,0,calculated_from_formation_energies
R_EX_no3_e,Nitrate exchange,False,0,calculated_from_formation_energies
R_EX_3gmp_e,3'-GMP exchange,False,0,calculated_from_formation_energies
R_EX_novbcn_e,Novobiocin exchange,False,0,calculated_from_formation_energies
R_EX_o16a4colipa_e,(O16 antigen)x4 core oligosaccharide lipid A exchange,False,0,calculated_from_formation_energies
R_EX_o2_e,O2 exchange,True,0,calculated_from_formation_energies
R_EX_o2s_e,Superoxide anion exchange,False,0,calculated_from_formation_energies
R_EX_udpgal_e,UDPgalactose exchange,False,0,calculated_from_formation_energies
R_EX_udpglcur_e,UDP-D-glucuronate exchange,False,0,calculated_from_formation_energies
R_EX_ump_e,UMP exchange,False,0,calculated_from_formation_energies
R_EX_ura_e,Uracil exchange,False,0,calculated_from_formation_energies
R_EX_ocdca_e,Octadecanoate (n-C18:0) exchange,False,0,calculated_from_formation_energies
R_EX_ocdcea_e,Octadecenoate (n-C18:1) exchange,False,0,calculated_from_formation_energies
R_EX_urea_e,Urea exchange,False,0,calculated_from_formation_energies
R_EX_3hcinnm_e,3-hydroxycinnamic acid exchange,False,0,calculated_from_formation_energies
R_EX_uri_e,Uridine exchange,False,0,calculated_from_formation_energies
R_EX_val__L_e,L-Valine exchange,False,0,calculated_from_formation_energies
R_EX_octa_e,Octanoate (n-C8:0) exchange,False,0,calculated_from_formation_energies
R_EX_orn_e,Ornithine exchange,False,0,calculated_from_formation_energies
R_EX_orot_e,Orotate exchange,False,0,calculated_from_formation_energies
R_EX_xan_e,Xanthine exchange,False,0,calculated_from_formation_energies
R_EX_xmp_e,Xanthosine 5'-phosphate exchange,False,0,calculated_from_formation_energies
R_EX_pacald_e,Phenylacetaldehyde exchange,False,0,calculated_from_formation_energies
R_EX_3hpp_e,3-Hydroxypropanoate exchange,False,0,calculated_from_formation_energies
R_EX_peamn_e,Phenethylamine exchange,False,0,calculated_from_formation_energies
R_EX_xtsn_e,Xanthosine exchange,False,0,calculated_from_formation_energies
R_EX_phe__L_e,L-Phenylalanine exchange,False,0,calculated_from_formation_energies
R_EX_xyl__D_e,D-Xylose exchange,False,0,calculated_from_formation_energies
R_EX_xylu__L_e,L-Xylulose exchange,False,0,calculated_from_formation_energies
R_EX_zn2_e,Zinc exchange,True,0,calculated_from_formation_energies
R_12DGR120tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)",False,0,calculated_from_formation_energies
R_EX_pheme_e,Protoheme exchange,False,0,calculated_from_formation_energies
R_EX_pi_e,Phosphate exchange,True,0,calculated_from_formation_energies
R_EX_pnto__R_e,(R)-Pantothenate exchange,False,0,calculated_from_formation_energies
R_EX_ppa_e,Propionate exchange,False,0,calculated_from_formation_energies
R_12DGR140tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)",False,0,calculated_from_formation_energies
R_12DGR141tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)",False,0,calculated_from_formation_energies
R_12DGR160tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)",False,0,calculated_from_formation_energies
R_EX_ppal_e,Propanal exchange,False,0,calculated_from_formation_energies
R_EX_3hpppn_e,3-(3-hydroxy-phenyl)propionate exchange,False,0,calculated_from_formation_energies
R_EX_pppn_e,Phenylpropanoate exchange,False,0,calculated_from_formation_energies
R_EX_ppt_e,Phosphonate exchange,False,0,calculated_from_formation_energies
R_EX_pro__L_e,L-Proline exchange,False,0,calculated_from_formation_energies
R_12DGR161tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)",False,0,calculated_from_formation_energies
R_12DGR180tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)",False,0,calculated_from_formation_energies
R_12DGR181tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)",False,0,calculated_from_formation_energies
R_12PPDRtex,"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",True,0,calculated_from_formation_energies
R_12PPDRtpp,"(R)-Propane-1,2-diol facilitated transport (periplasm)",True,0,calculated_from_formation_energies
R_12PPDStex,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",True,0,calculated_from_formation_energies
R_EX_progly_e,L-Prolinylglycine exchange,False,0,calculated_from_formation_energies
R_EX_psclys_e,Psicoselysine exchange,False,0,calculated_from_formation_energies
R_EX_pser__L_e,O-Phospho-L-serine exchange,False,0,calculated_from_formation_energies
R_12PPDStpp,"(S)-Propane-1,2-diol facilitated transport (periplasm)",True,0,calculated_from_formation_energies
R_14GLUCANabcpp,"1,4-alpha-D-glucan transport via ABC system (periplasm)",False,0,calculated_from_formation_energies
R_EX_ptrc_e,Putrescine exchange,False,0,calculated_from_formation_energies
R_EX_pydam_e,Pyridoxamine exchange,False,0,calculated_from_formation_energies
R_14GLUCANtexi,"1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible",False,0,calculated_from_formation_energies
R_23CAMPtex,23cAMP transport via diffusion (extracellular to periplasm),True,0,calculated_from_formation_energies
R_EX_pydx_e,Pyridoxal exchange,False,0,calculated_from_formation_energies
R_EX_3ump_e,3'-UMP exchange,False,0,calculated_from_formation_energies
R_EX_pydxn_e,Pyridoxine exchange,False,0,calculated_from_formation_energies
R_EX_pyr_e,Pyruvate exchange,False,0,calculated_from_formation_energies
R_EX_quin_e,Quinate exchange,False,0,calculated_from_formation_energies
R_EX_r5p_e,Alpha-D-Ribose 5-phosphate exchange,False,0,calculated_from_formation_energies
R_EX_rfamp_e,Rifampin exchange,False,0,calculated_from_formation_energies
R_23CCMPtex,23cCMP transport via diffusion (extracellular to periplasm),True,0,calculated_from_formation_energies
R_23CGMPtex,23cGMP transport via diffusion (extracellular to periplasm),True,0,calculated_from_formation_energies
R_23CUMPtex,23cUMP transport via diffusion (extracellular to periplasm),True,0,calculated_from_formation_energies
R_23DAPPAt2pp,"2,3-diaminopropionate transport in via proton symport",False,0,calculated_from_formation_energies
R_EX_rib__D_e,D-Ribose exchange,False,0,calculated_from_formation_energies
R_23DAPPAtex,"2,3-diaminopropionate transport via diffusion",True,0,calculated_from_formation_energies
R_EX_rmn_e,L-Rhamnose exchange,False,0,calculated_from_formation_energies
R_23PDE2pp,"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)",False,0,calculated_from_formation_energies
R_EX_4abut_e,4-Aminobutanoate exchange,False,0,calculated_from_formation_energies
R_23PDE4pp,"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)",False,0,calculated_from_formation_energies
R_23PDE7pp,"2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)",False,0,calculated_from_formation_energies
R_EX_sbt__D_e,D-Sorbitol exchange,False,0,calculated_from_formation_energies
R_EX_sel_e,Selenate exchange,True,0,calculated_from_formation_energies
R_EX_ser__D_e,D-Serine exchange,False,0,calculated_from_formation_energies
R_23PDE9pp,"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)",False,0,calculated_from_formation_energies
R_26DAHtex,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)",True,0,calculated_from_formation_energies
R_EX_4hoxpacd_e,4-Hydroxyphenylacetaldehyde exchange,False,0,calculated_from_formation_energies
R_2AGPA120tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm),False,0,calculated_from_formation_energies
R_2AGPA140tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm),False,0,calculated_from_formation_energies
R_EX_ser__L_e,L-Serine exchange,False,0,calculated_from_formation_energies
R_EX_skm_e,Shikimate exchange,False,0,calculated_from_formation_energies
R_EX_slnt_e,Selenite exchange,True,0,calculated_from_formation_energies
R_EX_so2_e,Sulfur dioxide exchange,False,0,calculated_from_formation_energies
R_EX_so3_e,Sulfite exchange,False,0,calculated_from_formation_energies
R_2AGPA141tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm),False,0,calculated_from_formation_energies
R_2AGPA160tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm),False,0,calculated_from_formation_energies
R_2AGPA161tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm),False,0,calculated_from_formation_energies
